2026-09-18 09:42:39 +0000: Memory Usage (431396K) : recog_diffprb has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431524K) : recog_pillar has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431524K) : recog_sbump has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431652K) : recog_otp has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431652K) : recog_pdiode has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431780K) : recog_mom has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431780K) : recog_momf has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431780K) : recog_pcm has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431908K) : colopen_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431908K) : graphmetal1_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432036K) : graphmetal1_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432036K) : graphmetal1_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432164K) : graphmetal1_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432164K) : graphmetal1_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432292K) : graphmet1l_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432292K) : graphmet1l_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432420K) : graphmet1l_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432420K) : graphmet1l_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432420K) : graphmet1l_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432548K) : extblock_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432548K) : nldd_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : pldd_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : next_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : pext_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : nexthv_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : pexthv_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : graphgate_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : sinwg_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : sinwg_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : sinwg_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : mempad_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topvia1_drw has 946 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_drw has 45 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_pin has 10 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_mask has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_text has 10 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_res has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_iprobe has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal1_diffprb has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : inldpwl_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : polyres_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : polyres_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : vmim_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : nbulaycut_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : antmetal1_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topvia2_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_pin has 0 polygons
